initial time: 0.0
initial time: 0.0009918212890625
initial time: 0.0010025501251220703
FLOODING: round:7, frame:2, iter:5, this-value:-80.14818666328318, time-cost:0.010000944137573242, ||iter-of-best-cache:1, frame-of-best-cache:2, round-best-value:-106.01208841051138
FLOODING: round:7, frame:2, iter:6, this-value:-80.14818666328318, time-cost:0.015978574752807617, ||iter-of-best-cache:1, frame-of-best-cache:2, round-best-value:-106.01208841051138
FLOODING: round:7, frame:2, iter:7, this-value:-80.14818666328318, time-cost:0.018026351928710938, ||iter-of-best-cache:1, frame-of-best-cache:2, round-best-value:-106.01208841051138
FLOODING: round:7, frame:2, iter:8, this-value:-80.14818666328318, time-cost:0.01797008514404297, ||iter-of-best-cache:1, frame-of-best-cache:2, round-best-value:-106.01208841051138
FLOODING: round:7, frame:2, iter:9, this-value:-80.14818666328318, time-cost:0.019028425216674805, ||iter-of-best-cache:1, frame-of-best-cache:2, round-best-value:-106.01208841051138
FLOODING: round:7, frame:3, iter:1, this-value:-106.01208841051138, time-cost:0.01896834373474121, ||iter-of-best-cache:1, frame-of-best-cache:2, round-best-value:-106.01208841051138
FLOODING: round:7, frame:3, iter:4, this-value:-104.33562138867234, time-cost:0.014023780822753906, ||iter-of-best-cache:1, frame-of-best-cache:2, round-best-value:-106.01208841051138
FLOODING: round:7, frame:3, iter:5, this-value:-80.14818666328318, time-cost:0.012969255447387695, ||iter-of-best-cache:1, frame-of-best-cache:2, round-best-value:-106.01208841051138
FLOODING: round:7, frame:3, iter:6, this-value:-80.14818666328318, time-cost:0.01800060272216797, ||iter-of-best-cache:1, frame-of-best-cache:2, round-best-value:-106.01208841051138
FLOODING: round:7, frame:3, iter:7, this-value:-80.14818666328318, time-cost:0.014998912811279297, ||iter-of-best-cache:1, frame-of-best-cache:2, round-best-value:-106.01208841051138
FLOODING: round:7, frame:3, iter:8, this-value:-80.14818666328318, time-cost:0.013034582138061523, ||iter-of-best-cache:1, frame-of-best-cache:2, round-best-value:-106.01208841051138
FLOODING: round:7, frame:3, iter:9, this-value:-80.14818666328318, time-cost:0.012972831726074219, ||iter-of-best-cache:1, frame-of-best-cache:2, round-best-value:-106.01208841051138
FLOODING: round:8, frame:1, iter:1, this-value:-106.01208841051138, time-cost:0.017026901245117188, ||iter-of-best-cache:1, frame-of-best-cache:1, round-best-value:-106.01208841051138
FLOODING: round:8, frame:1, iter:4, this-value:-104.33562138867237, time-cost:0.01196599006652832, ||iter-of-best-cache:1, frame-of-best-cache:1, round-best-value:-106.01208841051138
FLOODING: round:8, frame:1, iter:5, this-value:-80.1481866632832, time-cost:0.010959863662719727, ||iter-of-best-cache:1, frame-of-best-cache:1, round-best-value:-106.01208841051138
FLOODING: round:8, frame:1, iter:6, this-value:-80.1481866632832, time-cost:0.011000394821166992, ||iter-of-best-cache:1, frame-of-best-cache:1, round-best-value:-106.01208841051138
